Андорра	flag-icon flag-icon-ad
Ливан	flag-icon flag-icon-lb
Сент-Люсия	flag-icon flag-icon-lc
Лихтенштейн	flag-icon flag-icon-li
Шри-Ланка	flag-icon flag-icon-lk
Либерия	flag-icon flag-icon-lr
Лесото	flag-icon flag-icon-ls
Литва	flag-icon flag-icon-lt
Люксембург	flag-icon flag-icon-lu
Латвия	flag-icon flag-icon-lv
Ливия	flag-icon flag-icon-ly
Марокко	flag-icon flag-icon-ma
Монако	flag-icon flag-icon-mc
Молдова 	flag-icon flag-icon-md
Черногория 	flag-icon flag-icon-me
Сен-Мартен	flag-icon flag-icon-mf
Мадагаскар	flag-icon flag-icon-mg
Маршалловы острова	flag-icon flag-icon-mh
Северная Македония	flag-icon flag-icon-mk
Мали	flag-icon flag-icon-ml
Мьянма	flag-icon flag-icon-mm
Монголия	flag-icon flag-icon-mn
Макао	flag-icon flag-icon-mo
Северные Марианские острова	flag-icon flag-icon-mp
flag-icon flag-icon-mq	<li><i class=
Мавритания	flag-icon flag-icon-mr
Монтсеррат	flag-icon flag-icon-ms
Мальта	flag-icon flag-icon-mt
Маврикий	flag-icon flag-icon-mu
Мальдивы	flag-icon flag-icon-mv
Малави	flag-icon flag-icon-mw
Мексика	flag-icon flag-icon-mx
Малайзия	flag-icon flag-icon-my
Мозамбик	flag-icon flag-icon-mz
Намибия	flag-icon flag-icon-na
Новая Каледония	flag-icon flag-icon-nc
Нигер	flag-icon flag-icon-ne
Норфолк	flag-icon flag-icon-nf
Нигерия	flag-icon flag-icon-ng
Никарагуа	flag-icon flag-icon-ni
Нидерланды	flag-icon flag-icon-nl
Норвегия	flag-icon flag-icon-no
Непал	flag-icon flag-icon-np
Науру	flag-icon flag-icon-nr
Ниуэ	flag-icon flag-icon-nu
Новая Зеландия	flag-icon flag-icon-nz
Оман	flag-icon flag-icon-om
Панама	flag-icon flag-icon-pa
Перу	flag-icon flag-icon-pe
Французская Полинезия	flag-icon flag-icon-pf
Папуа — Новая Гвинея	flag-icon flag-icon-pg
Филиппины	flag-icon flag-icon-ph
Пакистан	flag-icon flag-icon-pk
Польша	flag-icon flag-icon-pl
Сен-Пьер и Микелон	flag-icon flag-icon-pm
Питкэрн	flag-icon flag-icon-pn
Пуэрто-Рико	flag-icon flag-icon-pr
Палестина	flag-icon flag-icon-ps
Португалия	flag-icon flag-icon-pt
Палау	flag-icon flag-icon-pw
Парагвай	flag-icon flag-icon-py
Катар	flag-icon flag-icon-qa
Реюньон	flag-icon flag-icon-re
Румыния	flag-icon flag-icon-ro
Сербия	flag-icon flag-icon-rs
Россия	flag-icon flag-icon-ru
Руанда	flag-icon flag-icon-rw
Саудовская Аравия	flag-icon flag-icon-sa
Соломоновы Острова	flag-icon flag-icon-sb
Сейшельские Острова	flag-icon flag-icon-sc
Судан	flag-icon flag-icon-sd
Швеция	flag-icon flag-icon-se
Сингапур	flag-icon flag-icon-sg
Остров Святой Елены	flag-icon flag-icon-sh
flag-icon flag-icon-si	<li><i class=
Шпицберген и Ян-Майен	flag-icon flag-icon-sj
Словакия	flag-icon flag-icon-sk
Словения	flag-icon flag-icon-sl
Сан-Марино	flag-icon flag-icon-sm
Сенегал	flag-icon flag-icon-sn
Сомали	flag-icon flag-icon-so
Суринам	flag-icon flag-icon-sr
Южный Судан	flag-icon flag-icon-ss
Сан-Томе и Принсипи	flag-icon flag-icon-st
Сальвадор	flag-icon flag-icon-sv
Синт-Мартен	flag-icon flag-icon-sx
Сирия	flag-icon flag-icon-sy
Свазиленд	flag-icon flag-icon-sz
Тёркс и Кайкос	flag-icon flag-icon-tc
Чад	flag-icon flag-icon-td
Французские Южные и Антарктические Территории	flag-icon flag-icon-tf
Того	flag-icon flag-icon-tg
Таиланд	flag-icon flag-icon-th
Таджикистан 	flag-icon flag-icon-tj
Токелау	flag-icon flag-icon-tk
Восточный Тимор	flag-icon flag-icon-tl
Туркменистан/li>	flag-icon flag-icon-tm
Тунис	flag-icon flag-icon-tn
Тонга	flag-icon flag-icon-to
Турция	flag-icon flag-icon-tr
Тринидад и Тобаго	flag-icon flag-icon-tt
Тувалу	flag-icon flag-icon-tv
Тайвань	flag-icon flag-icon-tw
Танзания	flag-icon flag-icon-tz
Украина	flag-icon flag-icon-ua
Уганда	flag-icon flag-icon-ug
Внешние малые острова США	flag-icon flag-icon-um
Соединенные Штаты Америки	flag-icon flag-icon-us
Уругвай	flag-icon flag-icon-uy
Узбекистан	flag-icon flag-icon-uz
Ватикан	flag-icon flag-icon-va
Сент-Винсент и Гренадины	flag-icon flag-icon-vc
Венесуэла	flag-icon flag-icon-ve
Британские Виргинские острова	flag-icon flag-icon-vg
Американские Виргинские острова	flag-icon flag-icon-vi
Вьетнам	flag-icon flag-icon-vn
Вануату	flag-icon flag-icon-vu
Уоллис и Футуна	flag-icon flag-icon-wf
Самоа	flag-icon flag-icon-ws
Йемен	flag-icon flag-icon-ye
Майотта	flag-icon flag-icon-yt
Южно-Африканская Республика	flag-icon flag-icon-za
Замбия	flag-icon flag-icon-zm
Зимбабве	flag-icon flag-icon-zw
Каталония (Испания)	flag-icon flag-icon-es-ca
Галисия (Испания)	flag-icon flag-icon-es-ga
Европейский союз	flag-icon flag-icon-eu
Англия (Великобритания)	flag-icon flag-icon-gb-eng
Северная Ирландия (Великобритания)	flag-icon flag-icon-gb-nir
Шотландия (Великобритания)	flag-icon flag-icon-gb-sct
Уэльс (Великобритания)	flag-icon flag-icon-gb-wls
Объединенные Нации	flag-icon flag-icon-un
Косово	flag-icon flag-icon-xk
